Comments,Happy,Sad,Angry,Disgust,Support,Insightful,Care,Love,Fear,Surprise,Curiosity,Nostalgic,Humor
My Grandpa died in Smolensk. May he rest in peace 🇩🇪,0,1,0,0,0,0,1,0,0,0,0,0,0
He shut the fold exactly with the beat wen it dropped,0,0,0,0,0,0,0,0,0,1,0,0,0
As a 90's kid... Everytime I go to the mall and see all these wonderful phones... I'm just really happy. Cause it's like I'm seeing the futuristic gadgets back from the films when I was a kid.,1,0,0,0,0,0,0,0,0,1,1,1,0
That alignment with the beat drop was just beautiful,1,0,0,0,1,0,0,0,0,1,0,0,0
Aah the fold sound and the bgm sync was perfecto,1,0,0,0,0,0,0,0,0,0,0,0,0
This is called flexibility,0,0,0,0,0,1,0,0,0,0,0,0,0
"He knows what we want, so he gave what we want",1,0,0,0,1,0,0,0,0,0,0,0,0
So now i get to break 3 screens,0,1,0,0,0,0,0,0,0,0,0,0,1
Song name,0,0,0,0,0,0,0,0,0,0,1,0,0
"Curious how it holds up, my Zflip 3 is still going strong",1,0,0,0,0,0,0,0,0,0,1,0,0
As a zf5 user and my dad being a former zf3 user and having absolutely no problems I can say it's not every brands job to make a foldable phone,1,0,0,0,1,0,0,0,0,0,0,0,0
Fuck y’all talkin bout? The fold on beat scared the hell outta me,0,1,1,0,0,0,0,0,1,1,0,0,1
What were your expectations really ?,0,0,0,0,0,0,0,0,0,1,1,0,0
Thats actually looks so crazy,0,0,0,0,0,0,0,0,0,1,0,0,1
Samsung still has the best foldable phones,0,0,0,0,1,0,0,1,0,0,0,0,0
The hell I was listening to this music on spotify,0,0,0,0,0,0,0,0,0,1,0,0,0
"Greetings. I have a Techno. The function of recording calls by default, without warning that it is being recorded, is important to me. Does this folding model have that function?",1,0,0,0,0,0,0,0,0,0,1,0,0
Bro wasted a life for a ride,0,0,0,1,0,0,0,0,0,1,0,0,1
Bro could’ve worked minimum wage for an hour and got to do the ride,0,1,0,0,0,0,0,0,0,0,0,0,1
"I can't stop hearing ""theres a 6'2 doctor here, he lick the food, he eat croissant too""",0,0,0,0,0,0,0,0,0,0,1,0,0
It's not about ride...ride shows the ride from earth to heaven..and it's life..we all earn hard and one day left all money and left the world that's mean we work hard and pay for a ride to heaven,0,1,0,0,0,1,0,0,0,1,1,0,0
This song makes me feel like i am walking alone in snowy mountains,1,1,0,0,0,1,0,0,0,0,0,0,0
"So satisfying , everything for Dream",1,0,0,0,1,0,1,0,0,0,0,0,0
Who here feels cold hearing this song?,0,0,0,0,0,0,0,0,0,0,1,0,0
"No matter how much small dream is ,I find the lifetime happiness just for it",1,0,0,0,0,1,1,1,0,0,0,0,0
Bro's spaceship got a huge upgrade,0,0,0,0,0,0,0,0,0,1,0,0,1
"Where everyone lost hope, he didn't.",0,0,0,0,1,0,1,0,0,1,0,0,0
"At one point i thought, he would become santa",0,0,0,0,0,0,0,0,0,1,1,0,1
"""Never gave up even when u feel u can't do it never gave up your dream""",0,0,0,0,0,1,0,0,0,0,0,0,0
Bro paid his entire life for a ride,0,0,0,0,0,0,0,0,0,1,0,0,1
This is so wholesome it hurts,1,1,0,0,0,0,0,0,0,0,0,0,1
